#EXPORTTYPE:DATA ALL
#FILE:0wt05hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:0wt05hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:18.03.2021 09:11
#CORR. FILE:correction 5kmin.ngb-bs3
#TEMPCAL:2021 CAL T 5KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 5KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:0wt05hr
#SAMPLE MASS /mg:10.4455
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:139.7495
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/5,0(K/min)/800°C
#SEGMENT:S2/2
#SEG. 2:25°C/5,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 25.01100; 30.00917; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.02500; 30.02250; 2.351442e-002;93.83562;80.00000;20.00000;0.92254
 25.01600; 30.03583; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.01000; 30.04917; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.00500; 30.06250; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.03000; 30.07583; 2.351451e-002;93.82988;80.00000;20.00000;0.92253
 25.01000; 30.08917; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.01700; 30.10250; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.01200; 30.11583; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.01300; 30.12917; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.00700; 30.14250; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.00800; 30.15583; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.00600; 30.16917; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.01000; 30.18250; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.00800; 30.19583; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
 25.01300; 30.20917; 2.311829e-002;93.83754;80.00000;20.00000;0.92255
