#EXPORTTYPE:DATA ALL
#FILE:100wt05hr2.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:100wthr05-2
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:19.03.2021 15:48
#CORR. FILE:correction 5kmin.ngb-bs3
#TEMPCAL:2021 CAL T 5KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 5KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:100wthr05-2
#SAMPLE MASS /mg:10.0911
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:140.2205
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/5,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/5,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.46300;  0.00000;       0.12238;100.00000;80.00000;20.00000;0.92294;1
 24.50300;  0.05000;       0.12526; 99.97919;80.00000;20.00000;0.92292;1
 24.52300;  0.10000;       0.13017; 99.95640;80.00000;20.00000;0.92290;1
 24.55200;  0.15000;       0.13272; 99.93955;80.00000;20.00000;0.92288;1
 24.56800;  0.20000;       0.13477; 99.92667;80.00000;20.00000;0.92287;1
 24.60500;  0.25000;       0.13715; 99.91081;80.00000;20.00000;0.92284;1
 24.62500;  0.30000;       0.13969; 99.89496;80.00000;20.00000;0.92283;1
 24.66500;  0.35000;       0.14067; 99.86622;80.00000;20.00000;0.92280;1
 24.68000;  0.40000;       0.14117; 99.85433;80.00000;20.00000;0.92279;1
 24.69000;  0.45000;       0.14158; 99.82856;80.00000;20.00000;0.92278;1
 24.73800;  0.50000;       0.14232; 99.81072;80.00000;20.00000;0.92274;1
 24.74700;  0.55000;       0.14150; 99.79982;80.00000;20.00000;0.92274;1
 24.77400;  0.60000;       0.14110; 99.78199;80.00000;20.00000;0.92272;1
 24.78800;  0.65000;       0.14020; 99.77109;80.00000;20.00000;0.92271;1
 24.78500;  0.70000;       0.13839; 99.75027;80.00000;20.00000;0.92271;1
 24.81900;  0.75000;       0.13700; 99.73145;80.00000;20.00000;0.92269;1
 24.84300;  0.80000;       0.13561; 99.71064;80.00000;20.00000;0.92267;1
