#EXPORTTYPE:DATA ALL
#FILE:100wt10hr2.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:100wt10hr2
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:19.03.2021 20:03
#CORR. FILE:correction 10kmin.ngb-bs3
#TEMPCAL:2021 CAL T 10KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 10KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:100wt10hr2
#SAMPLE MASS /mg:10.0453
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:139.8010
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/10,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/10,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.24500;  0.00000;       0.16355;100.00000;80.00000;20.00000;0.83403;1
 24.28300;  0.05000;       0.16738; 99.97412;80.00000;20.00000;0.83402;1
 24.29600;  0.10000;       0.17129; 99.94724;80.00000;20.00000;0.83402;1
 24.33000;  0.15000;       0.17385; 99.91937;80.00000;20.00000;0.83400;1
 24.36300;  0.20000;       0.17667; 99.89249;80.00000;20.00000;0.83399;1
 24.38200;  0.25000;       0.17786; 99.87556;80.00000;20.00000;0.83399;1
 24.41300;  0.30000;       0.18023; 99.84470;80.00000;20.00000;0.83398;1
 24.44000;  0.35000;       0.18077; 99.82479;80.00000;20.00000;0.83397;1
 24.44000;  0.40000;       0.18077; 99.80887;80.00000;20.00000;0.83397;1
 24.46700;  0.45000;       0.18114; 99.78398;80.00000;20.00000;0.83396;1
 24.50100;  0.50000;       0.18005; 99.75610;80.00000;20.00000;0.83395;1
 24.51200;  0.55000;       0.17896; 99.73918;80.00000;20.00000;0.83395;1
 24.54000;  0.60000;       0.17741; 99.72226;80.00000;20.00000;0.83394;1
 24.55500;  0.65000;       0.17586; 99.70733;80.00000;20.00000;0.83394;1
 24.55600;  0.70000;       0.17504; 99.68144;80.00000;20.00000;0.83394;1
 24.58900;  0.75000;       0.17277; 99.67049;80.00000;20.00000;0.83393;1
 24.60300;  0.80000;       0.17049; 99.64461;80.00000;20.00000;0.83392;1
