#EXPORTTYPE:DATA ALL
#FILE:100wt15hr.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:100wt15hr
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:19.03.2021 23:00
#CORR. FILE:correction 15kmin.ngb-bs3
#TEMPCAL:2021 CAL T 15KMIN .ngb-ts3
#SENSITIVITY:2021 CAL s 15KMIN REVISAR.ngb-ts3.ngb-es3
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:100wt15hr
#SAMPLE MASS /mg:10.0064
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:143.8310
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/00:00/25°C/15,0(K/min)/800°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/00:30/25°C
#SEG. 2:25°C/15,0(K/min)/800°C

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.25400; 0.00000;       0.17741;100.00000;80.00000;20.00000;0.83505;1
 24.29700; 0.05000;       0.18015; 99.97801;80.00000;20.00000;0.83503;1
 24.33200; 0.10000;       0.18335; 99.95703;80.00000;20.00000;0.83502;1
 24.35900; 0.15000;       0.18646; 99.92205;80.00000;20.00000;0.83501;1
 24.39800; 0.20000;       0.18920; 99.89507;80.00000;20.00000;0.83500;1
 24.41900; 0.25000;       0.19084; 99.86309;80.00000;20.00000;0.83499;1
 24.44800; 0.30000;       0.19276; 99.83710;80.00000;20.00000;0.83498;1
 24.46000; 0.35000;       0.19331; 99.80013;80.00000;20.00000;0.83498;1
 24.50600; 0.40000;       0.19386; 99.79113;80.00000;20.00000;0.83496;1
 24.52600; 0.45000;       0.19368; 99.77315;80.00000;20.00000;0.83496;1
 24.56100; 0.50000;       0.19341; 99.74017;80.00000;20.00000;0.83494;1
 24.55600; 0.55000;       0.19250; 99.71718;80.00000;20.00000;0.83495;1
 24.58900; 0.60000;       0.19150; 99.68820;80.00000;20.00000;0.83493;1
 24.62100; 0.65000;       0.19122; 99.67721;80.00000;20.00000;0.83492;1
 24.62800; 0.70000;       0.18848; 99.65422;80.00000;20.00000;0.83492;1
 24.66000; 0.75000;       0.18703; 99.62924;80.00000;20.00000;0.83491;1
 24.66300; 0.80000;       0.18438; 99.61325;80.00000;20.00000;0.83491;1
