#EXPORTTYPE:DATA ALL
#FILE:drifttest2.ngb-bs3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:nothing
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:copyrolysis
#DATE/TIME:05.03.2021 03:09
#CORR. FILE:
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:UNA - FCQ - AI
#OPERATOR:AD
#REMARK:
#SAMPLE:coconut
#SAMPLE MASS /mg:0
#MATERIAL:EMPTY
#REFERENCE:Empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:140.87
#DSC RANGE /µV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:20°C/06:00/20°C
#SEGMENT:S1/1
#SEG. 1:20°C/06:00/20°C

##Temp./°C;Time/min;DSC/uV;Mass loss/mg;Gas Flow(protective)/(ml/min);DTG/(mg/min);Sensit./(uV/mW)
20.54800;  0.00000;0.15488;-3.389305e-005;0.000000e+000;      -0.48416;1.00000
20.55300;  0.05000;0.15564;-7.085590e-004;     20.00000;      -0.43285;1.00000
20.53700;  0.10000;0.15182;-2.905797e-002;     20.00000;      -0.38154;1.00000
20.52600;  0.15000;0.15335;-5.727875e-002;     20.00000;      -0.32791;1.00000
20.53000;  0.20000;0.15030;-7.466116e-002;     20.00000;      -0.27308;1.00000
20.52700;  0.25000;0.14954;-8.486782e-002;     20.00000;      -0.22640;1.00000
20.53500;  0.30000;0.15182;-9.152262e-002;     20.00000;      -0.18986;1.00000
20.53900;  0.35000;0.14877;-9.604766e-002;     20.00000;      -0.16192;1.00000
20.53500;  0.40000;0.15717;      -0.10031;     20.00000;      -0.14092;1.00000
20.54200;  0.45000;0.15488;      -0.10304;     20.00000;      -0.12491;1.00000
20.54200;  0.50000;0.15335;      -0.10443;     20.00000;      -0.11232;1.00000
20.54700;  0.55000;0.15564;      -0.10510;     20.00000;      -0.10210;1.00000
20.54100;  0.60000;0.15564;      -0.10526;     20.00000;-9.366804e-002;1.00000
20.54200;  0.65000;0.15564;      -0.10526;     20.00000;-8.665006e-002;1.00000
20.54900;  0.70000;0.15640;      -0.10526;     20.00000;-8.087841e-002;1.00000
20.52900;  0.75000;0.15564;      -0.10556;     20.00000;-7.622671e-002;1.00000
20.53500;  0.80000;0.15564;      -0.10586;     20.00000;-7.242663e-002;1.00000
20.54200;  0.85000;0.15411;      -0.10606;     20.00000;-6.921824e-002;1.00000
20.54100;  0.90000;0.15717;      -0.10636;     20.00000;-6.634634e-002;1.00000
20.53400;  0.95000;0.15640;      -0.10665;     20.00000;-6.346260e-002;1.00000
20.54200;  1.00000;0.15869;      -0.10695;     20.00000;-6.047201e-002;1.00000
20.51600;  1.05000;0.15717;      -0.10715;     20.00000;-5.757030e-002;1.00000
20.53000;  1.10000;0.16022;      -0.10735;     20.00000;-5.489512e-002;1.00000
20.52500;  1.15000;0.15640;      -0.10765;     20.00000;-5.245458e-002;1.00000
20.51600;  1.20000;0.15945;      -0.10786;     20.00000;-5.022175e-002;1.00000
20.52800;  1.25000;0.15793;      -0.10816;     20.00000;-4.817241e-002;1.00000
20.53700;  1.30000;0.15640;      -0.10846;     20.00000;-4.629115e-002;1.00000
20.52300;  1.35000;0.16098;      -0.10866;     20.00000;-4.456926e-002;1.00000
20.52200;  1.40000;0.16022;      -0.10911;     20.00000;-4.298901e-002;1.00000
20.50800;  1.45000;0.16022;      -0.10988;     20.00000;-4.152570e-002;1.00000
20.51600;  1.50000;0.16174;      -0.11092;     20.00000;-4.016236e-002;1.00000
20.54500;  1.55000;0.16022;      -0.11190;     20.00000;-3.888833e-002;1.00000
20.52900;  1.60000;0.16174;      -0.11272;     20.00000;-3.769415e-002;1.00000
20.52200;  1.65000;0.16022;      -0.11351;     20.00000;-3.657111e-002;1.00000
20.53200;  1.70000;0.16022;      -0.11461;     20.00000;-3.551503e-002;1.00000
20.52800;  1.75000;0.15945;      -0.11598;     20.00000;-3.452250e-002;1.00000
20.54600;  1.80000;0.15869;      -0.11721;     20.00000;-3.358713e-002;1.00000
20.54900;  1.85000;0.15945;      -0.11791;     20.00000;-3.270321e-002;1.00000
20.56200;  1.90000;0.16251;      -0.11809;     20.00000;-3.186815e-002;1.00000
20.55100;  1.95000;0.15564;      -0.11809;     20.00000;-3.108456e-002;1.00000
20.55000;  2.00000;0.15945;      -0.11809;     20.00000;-3.035189e-002;1.00000
20.55600;  2.05000;0.15793;      -0.11808;     20.00000;-2.965707e-002;1.00000
20.56800;  2.10000;0.15564;      -0.11808;     20.00000;-2.898740e-002;1.00000
20.55000;  2.15000;0.15564;      -0.11808;     20.00000;-2.834737e-002;1.00000
20.55800;  2.20000;0.15717;      -0.11808;     20.00000;-2.775735e-002;1.00000
20.55600;  2.25000;0.15488;      -0.11808;     20.00000;-2.722313e-002;1.00000
20.55900;  2.30000;0.15717;      -0.11808;     20.00000;-2.671066e-002;1.00000
20.55600;  2.35000;0.15411;      -0.11808;     20.00000;-2.619501e-002;1.00000
20.53300;  2.40000;0.15564;      -0.11808;     20.00000;-2.568721e-002;1.00000
